,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
104,no transition,Technology-specific - Way et al. (2022),163.6273196492505
105,no transition,Technology-specific - Way et al. (2022),169.5471193835228
106,no transition,Technology-specific - Way et al. (2022),182.00334795515008
107,no transition,Technology-specific - Way et al. (2022),216.41520835177494
108,no transition,Technology-specific - Way et al. (2022),187.9070467438028
109,no transition,Technology-specific - Way et al. (2022),212.25798570768862
110,no transition,Technology-specific - Way et al. (2022),174.80442712941868
111,no transition,Technology-specific - Way et al. (2022),190.32421343117832
112,no transition,Technology-specific - Way et al. (2022),184.73679140381464
113,no transition,Technology-specific - Way et al. (2022),187.70573936913982
114,no transition,Technology-specific - Way et al. (2022),192.24112448042752
115,no transition,Technology-specific - Way et al. (2022),181.5111926864717
116,no transition,Technology-specific - Way et al. (2022),191.85396547331834
117,no transition,Technology-specific - Way et al. (2022),185.0926154618023
118,no transition,Technology-specific - Way et al. (2022),186.43496647392038
119,no transition,Technology-specific - Way et al. (2022),204.48216812818194
120,no transition,Technology-specific - Way et al. (2022),170.11092464558925
121,no transition,Technology-specific - Way et al. (2022),201.76566005201212
122,no transition,Technology-specific - Way et al. (2022),176.96880937963067
123,no transition,Technology-specific - Way et al. (2022),181.5887752981948
124,no transition,Technology-specific - Way et al. (2022),150.6759868224013
125,no transition,Technology-specific - Way et al. (2022),154.72916670537137
126,no transition,Technology-specific - Way et al. (2022),166.2609790278636
127,no transition,Technology-specific - Way et al. (2022),223.23923465654363
128,no transition,Technology-specific - Way et al. (2022),156.9201890601309
129,no transition,Technology-specific - Way et al. (2022),165.50841806477496
130,no transition,Technology-specific - Way et al. (2022),169.02212117778902
131,no transition,Technology-specific - Way et al. (2022),190.75938993754906
132,no transition,Technology-specific - Way et al. (2022),166.1408769796955
133,no transition,Technology-specific - Way et al. (2022),181.52232657735942
134,no transition,Technology-specific - Way et al. (2022),161.7192962595568
135,no transition,Technology-specific - Way et al. (2022),183.0620360084962
136,no transition,Technology-specific - Way et al. (2022),178.2133040565563
137,no transition,Technology-specific - Way et al. (2022),205.311410461362
138,no transition,Technology-specific - Way et al. (2022),164.00504594095636
139,no transition,Technology-specific - Way et al. (2022),209.5230006458585
140,no transition,Technology-specific - Way et al. (2022),176.14346052773968
141,no transition,Technology-specific - Way et al. (2022),218.29615722373873
142,no transition,Technology-specific - Way et al. (2022),179.32234430463882
143,no transition,Technology-specific - Way et al. (2022),157.72508012098544
144,no transition,Technology-specific - Way et al. (2022),176.8221662076528
145,no transition,Technology-specific - Way et al. (2022),187.8512668772305
146,no transition,Technology-specific - Way et al. (2022),159.95697021135464
147,no transition,Technology-specific - Way et al. (2022),188.06628765818232
148,no transition,Technology-specific - Way et al. (2022),177.23151551115967
149,no transition,Technology-specific - Way et al. (2022),179.5636336575408
150,no transition,Technology-specific - Way et al. (2022),176.40522860869248
151,no transition,Technology-specific - Way et al. (2022),192.4670441059348
152,no transition,Technology-specific - Way et al. (2022),188.26480034759828
153,no transition,Technology-specific - Way et al. (2022),205.2430164775727
154,no transition,Technology-specific - Way et al. (2022),160.51635140140166
155,no transition,Technology-specific - Way et al. (2022),204.8081582258043
156,no transition,Technology-specific - Way et al. (2022),189.6611394105887
157,no transition,Technology-specific - Way et al. (2022),177.90347644299243
158,no transition,Technology-specific - Way et al. (2022),147.33517210618524
159,no transition,Technology-specific - Way et al. (2022),193.349574898528
160,no transition,Technology-specific - Way et al. (2022),157.3646528639709
161,no transition,Technology-specific - Way et al. (2022),178.02593137139013
162,no transition,Technology-specific - Way et al. (2022),157.2390659206793
163,no transition,Technology-specific - Way et al. (2022),170.11944068229
164,no transition,Technology-specific - Way et al. (2022),194.0244094201358
165,no transition,Technology-specific - Way et al. (2022),187.1445147243042
166,no transition,Technology-specific - Way et al. (2022),198.58385156022737
167,no transition,Technology-specific - Way et al. (2022),205.08084383617268
168,no transition,Technology-specific - Way et al. (2022),187.97190812758532
169,no transition,Technology-specific - Way et al. (2022),199.03560173024695
170,no transition,Technology-specific - Way et al. (2022),172.69411272328736
171,no transition,Technology-specific - Way et al. (2022),188.91088237936907
172,no transition,Technology-specific - Way et al. (2022),164.7711275061325
173,no transition,Technology-specific - Way et al. (2022),181.95326946036727
174,no transition,Technology-specific - Way et al. (2022),220.10627964369206
175,no transition,Technology-specific - Way et al. (2022),164.1254932408097
176,no transition,Technology-specific - Way et al. (2022),161.8864739568429
177,no transition,Technology-specific - Way et al. (2022),179.88620089833074
178,no transition,Technology-specific - Way et al. (2022),176.74834474108968
179,no transition,Technology-specific - Way et al. (2022),197.5066090143235
180,no transition,Technology-specific - Way et al. (2022),191.78609350799374
181,no transition,Technology-specific - Way et al. (2022),181.26950253675795
182,no transition,Technology-specific - Way et al. (2022),220.62365914202047
183,no transition,Technology-specific - Way et al. (2022),188.74400567974374
184,no transition,Technology-specific - Way et al. (2022),162.49675793917933
185,no transition,Technology-specific - Way et al. (2022),169.13790764905787
186,no transition,Technology-specific - Way et al. (2022),213.3649422958671
187,no transition,Technology-specific - Way et al. (2022),159.19185344781394
188,no transition,Technology-specific - Way et al. (2022),186.66646354651135
189,no transition,Technology-specific - Way et al. (2022),185.877754549006
190,no transition,Technology-specific - Way et al. (2022),192.98474445081325
191,no transition,Technology-specific - Way et al. (2022),180.21007843031015
192,no transition,Technology-specific - Way et al. (2022),179.5141923883408
193,no transition,Technology-specific - Way et al. (2022),202.82132265330642
194,no transition,Technology-specific - Way et al. (2022),165.66424390425095
195,no transition,Technology-specific - Way et al. (2022),189.9091542056581
196,no transition,Technology-specific - Way et al. (2022),174.42100903839437
197,no transition,Technology-specific - Way et al. (2022),195.96424948987698
198,no transition,Technology-specific - Way et al. (2022),190.6989386638322
199,no transition,Technology-specific - Way et al. (2022),196.38203788883655
200,no transition,Technology-specific - Way et al. (2022),171.54829994874274
201,no transition,Technology-specific - Way et al. (2022),172.66319513775514
202,no transition,Technology-specific - Way et al. (2022),194.19132425403106
203,no transition,Technology-specific - Way et al. (2022),175.87071461709553
204,no transition,Technology-specific - Way et al. (2022),183.1906776438878
205,no transition,Technology-specific - Way et al. (2022),171.41713294995924
206,no transition,Technology-specific - Way et al. (2022),185.76135741570687
207,no transition,Technology-specific - Way et al. (2022),184.32336105863544
208,no transition,Technology-specific - Way et al. (2022),182.82850369797157
209,no transition,Technology-specific - Way et al. (2022),193.3550856435031
210,no transition,Technology-specific - Way et al. (2022),204.39141664118173
211,no transition,Technology-specific - Way et al. (2022),181.6781477932205
212,no transition,Technology-specific - Way et al. (2022),179.41988168356306
213,no transition,Technology-specific - Way et al. (2022),195.9000364655751
214,no transition,Technology-specific - Way et al. (2022),176.16961489914
215,no transition,Technology-specific - Way et al. (2022),174.1562432181388
216,no transition,Technology-specific - Way et al. (2022),192.97502608696993
217,no transition,Technology-specific - Way et al. (2022),190.96481215757566
218,no transition,Technology-specific - Way et al. (2022),176.02989292062915
219,no transition,Technology-specific - Way et al. (2022),162.2321797841512
220,no transition,Technology-specific - Way et al. (2022),163.014463428788
221,no transition,Technology-specific - Way et al. (2022),190.84955512371326
222,no transition,Technology-specific - Way et al. (2022),186.89178541014968
223,no transition,Technology-specific - Way et al. (2022),193.86674518400974
224,no transition,Technology-specific - Way et al. (2022),181.2450248103348
225,no transition,Technology-specific - Way et al. (2022),185.81403933082467
226,no transition,Technology-specific - Way et al. (2022),187.37685296913074
227,no transition,Technology-specific - Way et al. (2022),162.85142851549963
228,no transition,Technology-specific - Way et al. (2022),200.12848248294313
229,no transition,Technology-specific - Way et al. (2022),159.84128405205817
230,no transition,Technology-specific - Way et al. (2022),192.55536071962547
231,no transition,Technology-specific - Way et al. (2022),185.83365953114048
232,no transition,Technology-specific - Way et al. (2022),163.6993013960503
233,no transition,Technology-specific - Way et al. (2022),180.4018161261238
234,no transition,Technology-specific - Way et al. (2022),178.8981482194071
235,no transition,Technology-specific - Way et al. (2022),159.05168193047447
236,no transition,Technology-specific - Way et al. (2022),150.11374054103203
237,no transition,Technology-specific - Way et al. (2022),168.44089488456314
238,no transition,Technology-specific - Way et al. (2022),160.40585939108936
239,no transition,Technology-specific - Way et al. (2022),158.231311533159
240,no transition,Technology-specific - Way et al. (2022),168.98395253160677
241,no transition,Technology-specific - Way et al. (2022),180.9716227383555
242,no transition,Technology-specific - Way et al. (2022),166.16496937433735
243,no transition,Technology-specific - Way et al. (2022),213.96774559398543
244,no transition,Technology-specific - Way et al. (2022),189.66145999091157
245,no transition,Technology-specific - Way et al. (2022),157.88431282326727
246,no transition,Technology-specific - Way et al. (2022),188.09738068448505
247,no transition,Technology-specific - Way et al. (2022),170.20999674334234
248,no transition,Technology-specific - Way et al. (2022),185.3233504718898
249,no transition,Technology-specific - Way et al. (2022),174.4295158406101
250,no transition,Technology-specific - Way et al. (2022),178.08160658374237
251,no transition,Technology-specific - Way et al. (2022),198.27422688734487
252,no transition,Technology-specific - Way et al. (2022),173.56862676649104
253,no transition,Technology-specific - Way et al. (2022),175.96569923323412
254,no transition,Technology-specific - Way et al. (2022),183.8563027587205
255,no transition,Technology-specific - Way et al. (2022),173.94882519739707
256,no transition,Technology-specific - Way et al. (2022),188.6123249359416
257,no transition,Technology-specific - Way et al. (2022),169.93618348107037
258,no transition,Technology-specific - Way et al. (2022),153.77133247174984
259,no transition,Technology-specific - Way et al. (2022),174.31981869153003
260,no transition,Technology-specific - Way et al. (2022),164.54862395441043
261,no transition,Technology-specific - Way et al. (2022),159.4582078808702
262,no transition,Technology-specific - Way et al. (2022),168.7771710977299
263,no transition,Technology-specific - Way et al. (2022),207.77406363482072
264,no transition,Technology-specific - Way et al. (2022),162.56874404170918
265,no transition,Technology-specific - Way et al. (2022),180.70141393876506
266,no transition,Technology-specific - Way et al. (2022),173.21479492579115
267,no transition,Technology-specific - Way et al. (2022),192.4742032571867
268,no transition,Technology-specific - Way et al. (2022),166.11060375246865
269,no transition,Technology-specific - Way et al. (2022),177.95021738068397
270,no transition,Technology-specific - Way et al. (2022),185.9014836127938
271,no transition,Technology-specific - Way et al. (2022),175.68212682556813
272,no transition,Technology-specific - Way et al. (2022),176.13828559103484
273,no transition,Technology-specific - Way et al. (2022),167.6545677730424
274,no transition,Technology-specific - Way et al. (2022),189.74755122099228
275,no transition,Technology-specific - Way et al. (2022),185.3088009519762
276,no transition,Technology-specific - Way et al. (2022),176.48722836398173
277,no transition,Technology-specific - Way et al. (2022),178.6548706164477
278,no transition,Technology-specific - Way et al. (2022),187.2645288994275
279,no transition,Technology-specific - Way et al. (2022),172.2695130379933
280,no transition,Technology-specific - Way et al. (2022),178.7315019395412
281,no transition,Technology-specific - Way et al. (2022),177.48019055259718
282,no transition,Technology-specific - Way et al. (2022),174.5236198610058
283,no transition,Technology-specific - Way et al. (2022),188.0895317620536
284,no transition,Technology-specific - Way et al. (2022),188.60769047655043
285,no transition,Technology-specific - Way et al. (2022),170.07004228286394
286,no transition,Technology-specific - Way et al. (2022),174.43909982479443
287,no transition,Technology-specific - Way et al. (2022),177.4245274808108
288,no transition,Technology-specific - Way et al. (2022),184.57757942845552
289,no transition,Technology-specific - Way et al. (2022),202.4184226168383
290,no transition,Technology-specific - Way et al. (2022),202.47747245763077
291,no transition,Technology-specific - Way et al. (2022),183.08069269685856
292,no transition,Technology-specific - Way et al. (2022),166.32838843874543
293,no transition,Technology-specific - Way et al. (2022),176.56337022329345
294,no transition,Technology-specific - Way et al. (2022),174.2906193695668
295,no transition,Technology-specific - Way et al. (2022),169.75941316967422
296,no transition,Technology-specific - Way et al. (2022),202.59355966362824
297,no transition,Technology-specific - Way et al. (2022),206.86646222233475
298,no transition,Technology-specific - Way et al. (2022),171.21821513237367
299,no transition,Technology-specific - Way et al. (2022),169.01635765760557
300,no transition,Technology-specific - Way et al. (2022),186.39380364531254
301,no transition,Technology-specific - Way et al. (2022),186.54583617752965
302,no transition,Technology-specific - Way et al. (2022),190.44072594824337
303,no transition,Technology-specific - Way et al. (2022),166.1831079020283
304,no transition,Technology-specific - Way et al. (2022),167.23535117847305
305,no transition,Technology-specific - Way et al. (2022),195.82085734389736
306,no transition,Technology-specific - Way et al. (2022),163.04292037468866
307,no transition,Technology-specific - Way et al. (2022),184.29974860811504
308,no transition,Technology-specific - Way et al. (2022),199.71241492834096
309,no transition,Technology-specific - Way et al. (2022),160.37960370250917
310,no transition,Technology-specific - Way et al. (2022),183.1615964113575
311,no transition,Technology-specific - Way et al. (2022),185.51545530161192
312,no transition,Technology-specific - Way et al. (2022),168.76224640989537
313,no transition,Technology-specific - Way et al. (2022),203.4108859643697
314,no transition,Technology-specific - Way et al. (2022),148.4515808310055
315,no transition,Technology-specific - Way et al. (2022),150.5537676781
316,no transition,Technology-specific - Way et al. (2022),182.33687501318357
317,no transition,Technology-specific - Way et al. (2022),168.22655101359808
318,no transition,Technology-specific - Way et al. (2022),161.52453616372605
319,no transition,Technology-specific - Way et al. (2022),169.947266596552
320,no transition,Technology-specific - Way et al. (2022),188.90142948435832
321,no transition,Technology-specific - Way et al. (2022),186.6219394715428
322,no transition,Technology-specific - Way et al. (2022),155.8380029527842
323,no transition,Technology-specific - Way et al. (2022),197.8514872419741
324,no transition,Technology-specific - Way et al. (2022),166.9154696325146
325,no transition,Technology-specific - Way et al. (2022),179.099620516915
326,no transition,Technology-specific - Way et al. (2022),179.27391329732538
327,no transition,Technology-specific - Way et al. (2022),174.73240654005286
328,no transition,Technology-specific - Way et al. (2022),177.43566132272062
329,no transition,Technology-specific - Way et al. (2022),174.3831288227146
330,no transition,Technology-specific - Way et al. (2022),182.4829945092228
331,no transition,Technology-specific - Way et al. (2022),193.7860939777818
332,no transition,Technology-specific - Way et al. (2022),179.9262963413758
333,no transition,Technology-specific - Way et al. (2022),175.22227508206836
334,no transition,Technology-specific - Way et al. (2022),167.5582721475143
335,no transition,Technology-specific - Way et al. (2022),157.60884603283512
336,no transition,Technology-specific - Way et al. (2022),192.6375994977898
337,no transition,Technology-specific - Way et al. (2022),208.87087216836431
338,no transition,Technology-specific - Way et al. (2022),168.76370035055567
339,no transition,Technology-specific - Way et al. (2022),185.71589682313365
340,no transition,Technology-specific - Way et al. (2022),172.62439626376366
341,no transition,Technology-specific - Way et al. (2022),184.2382833818276
342,no transition,Technology-specific - Way et al. (2022),234.39627177675996
343,no transition,Technology-specific - Way et al. (2022),172.5225214744355
344,no transition,Technology-specific - Way et al. (2022),168.7551801386538
345,no transition,Technology-specific - Way et al. (2022),197.26475667591802
346,no transition,Technology-specific - Way et al. (2022),160.7097479545847
347,no transition,Technology-specific - Way et al. (2022),179.39428478706674
348,no transition,Technology-specific - Way et al. (2022),182.25970043353936
349,no transition,Technology-specific - Way et al. (2022),166.94844819824056
350,no transition,Technology-specific - Way et al. (2022),176.90794301567186
351,no transition,Technology-specific - Way et al. (2022),188.68434774917432
352,no transition,Technology-specific - Way et al. (2022),200.18291372795463
353,no transition,Technology-specific - Way et al. (2022),167.47170687197288
354,no transition,Technology-specific - Way et al. (2022),177.0206595777525
355,no transition,Technology-specific - Way et al. (2022),176.0181915096826
356,no transition,Technology-specific - Way et al. (2022),188.44031547472056
357,no transition,Technology-specific - Way et al. (2022),198.43444089243638
358,no transition,Technology-specific - Way et al. (2022),184.74569886216324
359,no transition,Technology-specific - Way et al. (2022),168.31983096748655
360,no transition,Technology-specific - Way et al. (2022),182.42390178844113
361,no transition,Technology-specific - Way et al. (2022),173.3394785645903
362,no transition,Technology-specific - Way et al. (2022),188.60484146050288
363,no transition,Technology-specific - Way et al. (2022),169.52100380726057
364,no transition,Technology-specific - Way et al. (2022),167.60344105643074
365,no transition,Technology-specific - Way et al. (2022),163.82726188110723
366,no transition,Technology-specific - Way et al. (2022),174.2402158022826
367,no transition,Technology-specific - Way et al. (2022),178.01960699273366
368,no transition,Technology-specific - Way et al. (2022),159.50596607088303
369,no transition,Technology-specific - Way et al. (2022),178.13149814575755
370,no transition,Technology-specific - Way et al. (2022),194.94293733207047
371,no transition,Technology-specific - Way et al. (2022),174.77797691321513
372,no transition,Technology-specific - Way et al. (2022),205.50480538251543
373,no transition,Technology-specific - Way et al. (2022),185.91331635639418
374,no transition,Technology-specific - Way et al. (2022),169.56614027007393
375,no transition,Technology-specific - Way et al. (2022),178.97859222595724
376,no transition,Technology-specific - Way et al. (2022),178.01299617540656
377,no transition,Technology-specific - Way et al. (2022),222.20456407486313
378,no transition,Technology-specific - Way et al. (2022),191.1281727218348
379,no transition,Technology-specific - Way et al. (2022),160.70931505221878
380,no transition,Technology-specific - Way et al. (2022),176.499743588054
381,no transition,Technology-specific - Way et al. (2022),162.02117746163057
382,no transition,Technology-specific - Way et al. (2022),194.6469761389741
383,no transition,Technology-specific - Way et al. (2022),180.3268171900161
384,no transition,Technology-specific - Way et al. (2022),178.14606728756218
385,no transition,Technology-specific - Way et al. (2022),161.2817329809138
386,no transition,Technology-specific - Way et al. (2022),177.12676142741583
387,no transition,Technology-specific - Way et al. (2022),184.24481899142032
388,no transition,Technology-specific - Way et al. (2022),205.37005637084272
389,no transition,Technology-specific - Way et al. (2022),169.56764934287736
390,no transition,Technology-specific - Way et al. (2022),187.21214977585836
391,no transition,Technology-specific - Way et al. (2022),172.34650510428287
392,no transition,Technology-specific - Way et al. (2022),168.78801870504657
393,no transition,Technology-specific - Way et al. (2022),189.24853075505027
394,no transition,Technology-specific - Way et al. (2022),184.9637180498976
395,no transition,Technology-specific - Way et al. (2022),163.15516977506218
396,no transition,Technology-specific - Way et al. (2022),177.00493337459193
397,no transition,Technology-specific - Way et al. (2022),185.5847546432531
398,no transition,Technology-specific - Way et al. (2022),191.44796473694575
399,no transition,Technology-specific - Way et al. (2022),217.98110573647887
400,no transition,Technology-specific - Way et al. (2022),168.9471672141535
401,no transition,Technology-specific - Way et al. (2022),175.12635794794656
402,no transition,Technology-specific - Way et al. (2022),173.71363358591935
403,no transition,Technology-specific - Way et al. (2022),179.09707452922805
404,no transition,Technology-specific - Way et al. (2022),156.54699842308332
405,no transition,Technology-specific - Way et al. (2022),165.30209535691264
406,no transition,Technology-specific - Way et al. (2022),188.1561133111983
407,no transition,Technology-specific - Way et al. (2022),187.98011204953937
408,no transition,Technology-specific - Way et al. (2022),175.43286876378903
409,no transition,Technology-specific - Way et al. (2022),165.2536753555281
410,no transition,Technology-specific - Way et al. (2022),174.48195022763937
411,no transition,Technology-specific - Way et al. (2022),206.96342667635474
412,no transition,Technology-specific - Way et al. (2022),201.06249248522707
413,no transition,Technology-specific - Way et al. (2022),179.32383383840184
414,no transition,Technology-specific - Way et al. (2022),164.66530199483373
415,no transition,Technology-specific - Way et al. (2022),177.82175778357146
416,no transition,Technology-specific - Way et al. (2022),157.72372764953218
417,no transition,Technology-specific - Way et al. (2022),178.10258248796626
418,no transition,Technology-specific - Way et al. (2022),200.25316353388408
419,no transition,Technology-specific - Way et al. (2022),163.9860170640843
420,no transition,Technology-specific - Way et al. (2022),184.24017658257375
421,no transition,Technology-specific - Way et al. (2022),178.8248867058268
422,no transition,Technology-specific - Way et al. (2022),170.72570785298086
423,no transition,Technology-specific - Way et al. (2022),159.09272470898108
424,no transition,Technology-specific - Way et al. (2022),158.8679304339673
425,no transition,Technology-specific - Way et al. (2022),168.99956639833138
426,no transition,Technology-specific - Way et al. (2022),166.79329037720842
427,no transition,Technology-specific - Way et al. (2022),151.19890698400312
428,no transition,Technology-specific - Way et al. (2022),176.04751529615052
429,no transition,Technology-specific - Way et al. (2022),172.98904480725443
430,no transition,Technology-specific - Way et al. (2022),162.47577997197374
431,no transition,Technology-specific - Way et al. (2022),178.0267635231028
432,no transition,Technology-specific - Way et al. (2022),168.2468584382267
433,no transition,Technology-specific - Way et al. (2022),193.09547498645557
434,no transition,Technology-specific - Way et al. (2022),174.29367878171755
435,no transition,Technology-specific - Way et al. (2022),175.92036173533856
436,no transition,Technology-specific - Way et al. (2022),174.68287840631461
437,no transition,Technology-specific - Way et al. (2022),196.0396903132675
438,no transition,Technology-specific - Way et al. (2022),173.21297458338998
439,no transition,Technology-specific - Way et al. (2022),168.0695709561604
440,no transition,Technology-specific - Way et al. (2022),165.6368874442813
441,no transition,Technology-specific - Way et al. (2022),215.90317616060463
442,no transition,Technology-specific - Way et al. (2022),180.76944596198769
443,no transition,Technology-specific - Way et al. (2022),162.72371083647383
444,no transition,Technology-specific - Way et al. (2022),197.33681115018706
445,no transition,Technology-specific - Way et al. (2022),182.39986353369437
446,no transition,Technology-specific - Way et al. (2022),169.92090938016128
447,no transition,Technology-specific - Way et al. (2022),185.52076532005543
448,no transition,Technology-specific - Way et al. (2022),200.64034186962306
449,no transition,Technology-specific - Way et al. (2022),157.41424336219
450,no transition,Technology-specific - Way et al. (2022),180.48489505186745
451,no transition,Technology-specific - Way et al. (2022),179.18397328592968
452,no transition,Technology-specific - Way et al. (2022),172.49227040934653
453,no transition,Technology-specific - Way et al. (2022),215.5909899882697
454,no transition,Technology-specific - Way et al. (2022),190.27747897053436
455,no transition,Technology-specific - Way et al. (2022),183.67784645991753
456,no transition,Technology-specific - Way et al. (2022),163.9984754250767
457,no transition,Technology-specific - Way et al. (2022),177.2313659898694
458,no transition,Technology-specific - Way et al. (2022),274.31699754010185
459,no transition,Technology-specific - Way et al. (2022),164.4493742116384
460,no transition,Technology-specific - Way et al. (2022),164.61575669088506
461,no transition,Technology-specific - Way et al. (2022),180.48899810562474
462,no transition,Technology-specific - Way et al. (2022),159.65530177120436
463,no transition,Technology-specific - Way et al. (2022),185.99472016233702
464,no transition,Technology-specific - Way et al. (2022),181.37228893791115
